Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-12-03,219.55,219.7,208.25,211.7,95084,EQ,4376.0,21.73,45081.0
2025-12-04,212.8,218.75,205.0,210.68,109673,EQ,2711.0,40.45,50199.0
2025-12-05,212.75,214.55,202.1,202.86,75073,EQ,3898.0,19.26,33871.0
2025-12-08,201.85,206.83,191.81,194.95,184849,EQ,4929.0,37.5,83403.0
2025-12-09,194.99,203.0,191.5,201.52,120048,EQ,4067.0,29.52,48677.0
2025-12-10,202.39,204.59,193.63,198.25,76771,EQ,2368.0,32.42,36245.0
2025-12-11,198.12,201.98,192.42,194.35,64641,EQ,2366.0,27.32,36305.0
2025-12-12,197.0,213.0,195.0,206.18,175389,EQ,5210.0,33.66,80964.0
2025-12-15,206.18,207.49,199.05,200.17,63106,EQ,2300.0,27.44,40707.0
2025-12-16,200.29,208.01,196.23,203.8,219642,EQ,4201.0,52.28,100937.0
2025-12-17,207.99,215.8,195.35,196.93,188667,EQ,3112.0,60.63,97139.0
2025-12-18,197.01,209.06,195.14,199.89,221553,EQ,4826.0,45.91,91360.0
2025-12-19,200.89,205.8,199.21,201.71,99866,EQ,2352.0,42.46,54225.0
2025-12-22,201.73,206.0,201.63,203.3,99239,EQ,2118.0,46.86,54549.0
2025-12-23,204.0,204.0,198.1,199.67,53603,EQ,1428.0,37.54,26566.0
2025-12-24,202.0,204.0,196.62,198.44,73934,EQ,2034.0,36.35,25668.0
2025-12-26,199.44,200.0,195.88,196.84,62775,EQ,1436.0,43.72,40960.0
2025-12-29,196.84,198.71,193.5,194.54,83450,EQ,1402.0,59.52,49628.0
2025-12-30,194.61,198.0,192.37,195.56,100720,EQ,2748.0,36.65,39905.0
2025-12-31,196.54,196.6,194.22,195.19,37288,EQ,997.0,37.4,22003.0
2026-01-01,194.55,197.2,186.0,187.93,122053,EQ,2921.0,41.78,70126.0
2026-01-02,188.87,195.79,188.19,191.07,99208,EQ,2784.0,35.64,44802.0
2026-01-05,191.0,199.89,190.0,197.46,393536,EQ,10055.0,39.14,65189.0
2026-01-06,198.44,199.0,191.49,193.77,71461,EQ,2650.0,26.97,33108.0
2026-01-07,193.91,193.95,189.0,191.91,84673,EQ,1939.0,43.67,39491.0
2026-01-08,190.0,195.99,189.0,190.22,266285,EQ,6729.0,39.57,51808.0
2026-01-09,190.0,191.18,180.5,183.1,317667,EQ,10752.0,29.54,71730.0
2026-01-12,183.1,184.32,169.41,174.14,240433,EQ,5872.0,40.95,100463.0
2026-01-13,176.24,179.59,174.72,176.34,96763,EQ,3121.0,31.0,32486.0
2026-01-14,176.0,177.31,174.0,175.93,37761,EQ,1413.0,26.72,18572.0
2026-01-16,175.0,176.41,170.12,172.12,94505,EQ,2319.0,40.75,42294.0
2026-01-19,171.28,171.5,165.16,166.4,113617,EQ,2693.0,42.19,73898.0
2026-01-20,164.5,167.0,155.05,156.15,194301,EQ,3859.0,50.35,110981.0
2026-01-21,154.62,164.3,154.38,157.99,121150,EQ,3903.0,31.04,50860.0
2026-01-22,164.0,172.3,159.07,161.16,110316,EQ,3785.0,29.15,37651.0
2026-01-23,160.0,166.82,151.55,154.13,143654,EQ,3671.0,39.13,37447.0
2026-01-27,155.99,155.99,150.61,153.31,92584,EQ,2473.0,37.44,36405.0
2026-01-28,155.0,166.5,155.0,162.84,100823,EQ,2729.0,36.95,54311.0
2026-01-29,163.66,164.47,155.42,159.88,61909,EQ,1833.0,33.77,29391.0
2026-01-30,160.0,177.0,157.21,170.12,139458,EQ,3605.0,38.68,56637.0
2026-02-01,171.0,176.99,157.2,159.62,110811,EQ,3528.0,31.41,43283.0
2026-02-02,162.79,162.79,154.38,161.38,94513,EQ,2843.0,33.24,38493.0
2026-02-03,172.0,174.0,163.0,171.78,120883,EQ,3272.0,36.94,56258.0
2026-02-04,171.0,172.81,167.4,169.21,64751,EQ,2260.0,28.65,28015.0
2026-02-05,169.7,169.7,160.61,162.77,95656,EQ,2424.0,39.46,39026.0
2026-02-06,163.0,163.52,154.22,157.82,112103,EQ,3033.0,36.96,54944.0
2026-02-09,160.0,165.0,158.45,163.84,106044,EQ,2552.0,41.55,58626.0
2026-02-10,165.07,167.98,162.16,163.62,69754,EQ,1985.0,35.14,33412.0
2026-02-11,164.51,166.32,161.41,165.05,35275,EQ,1169.0,30.18,14738.0
2026-02-12,162.55,167.09,160.0,161.4,130819,EQ,2855.0,45.82,63201.0
2026-02-13,158.0,161.99,156.18,159.99,82242,EQ,1819.0,45.21,49981.0
2026-02-16,162.99,163.39,155.01,155.52,74160,EQ,1580.0,46.94,37849.0
2026-02-17,158.41,158.41,154.0,154.84,81353,EQ,1628.0,49.97,47571.0
2026-02-18,155.98,156.72,153.0,154.33,63119,EQ,1478.0,42.71,32748.0
2026-02-19,153.9,157.0,152.5,154.38,63303,EQ,1164.0,54.38,39033.0
2026-02-20,155.27,159.95,153.0,158.54,92679,EQ,1622.0,57.14,47351.0
2026-02-23,159.02,159.5,148.2,151.57,109617,EQ,1848.0,59.32,64906.0
2026-02-24,151.0,154.0,150.0,150.87,78780,EQ,1147.0,68.68,51716.0
2026-02-25,152.83,156.0,141.68,143.0,298071,EQ,4596.0,64.85,108614.0
2026-02-26,143.0,146.19,140.05,142.67,439519,EQ,2646.0,166.11,334503.0
2026-02-27,143.0,144.22,140.91,142.56,56860,EQ,1304.0,43.6,28797.0
2026-03-02,136.0,149.0,136.0,145.19,365691,EQ,6512.0,56.16,104517.0
2026-03-04,146.2,152.78,138.0,142.44,455626,EQ,6047.0,75.35,190177.0
2026-03-05,142.44,145.0,138.8,141.63,157244,EQ,2170.0,72.46,77969.0
2026-03-06,142.76,145.2,140.1,143.31,99789,EQ,1926.0,51.81,37127.0
2026-03-09,142.88,142.88,134.4,139.79,161456,EQ,1881.0,85.84,94388.0
2026-03-10,142.0,143.12,137.1,139.62,125210,EQ,1919.0,65.25,50421.0
2026-03-11,142.8,142.8,136.74,138.47,137266,EQ,1734.0,79.16,79564.0
2026-03-12,135.15,136.99,132.62,135.98,149630,EQ,1838.0,81.41,94335.0
2026-03-13,132.8,136.0,126.0,128.12,286380,EQ,3300.0,86.78,145107.0
2026-03-16,129.99,130.0,122.89,125.83,331881,EQ,3310.0,100.27,216404.0
2026-03-17,127.72,133.15,126.2,131.56,150337,EQ,2091.0,71.9,83399.0
2026-03-18,131.24,137.98,131.03,136.72,121019,EQ,1495.0,80.95,74370.0
2026-03-19,130.0,134.96,128.25,129.86,146139,EQ,1359.0,107.53,103316.0
2026-03-20,132.5,134.9,131.1,132.62,65949,EQ,1114.0,59.2,41169.0
2026-03-23,130.62,131.79,123.24,124.13,129192,EQ,2061.0,62.68,74692.0
2026-03-24,127.4,127.4,122.71,124.97,183791,EQ,4103.0,44.79,108343.0
2026-03-25,124.97,130.75,123.0,127.11,349829,EQ,5376.0,65.07,157656.0
2026-03-27,125.75,129.7,122.55,127.43,322658,EQ,3680.0,87.68,218120.0
2026-03-30,126.99,126.99,115.52,118.31,383352,EQ,4315.0,88.84,213839.0
2026-04-01,136.5,138.9,122.11,136.36,313539,EQ,4666.0,67.2,103386.0
