Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-01-06,70.0,71.01,66.0,69.15,1425674,EQ,8120.0,175.58,282222.0
2026-01-07,68.0,70.0,66.64,69.17,683041,EQ,2379.0,287.11,100397.0
2026-01-08,68.83,68.9,66.76,67.48,425615,EQ,3875.0,109.84,104186.0
2026-01-09,67.25,69.8,61.0,67.15,678780,EQ,4852.0,139.9,248318.0
2026-01-12,66.2,68.48,66.0,66.83,535451,EQ,6111.0,87.62,98897.0
2026-01-13,66.83,67.43,61.5,64.89,1041644,EQ,8129.0,128.14,130914.0
2026-01-14,64.2,66.8,64.2,65.53,719356,EQ,4719.0,152.44,212229.0
2026-01-16,65.52,66.56,65.1,65.68,543626,EQ,3873.0,140.36,133427.0
2026-01-19,65.2,66.25,64.91,65.1,503677,EQ,1669.0,301.78,113399.0
2026-01-20,65.15,66.8,64.2,64.65,560258,EQ,2150.0,260.59,131292.0
2026-01-21,64.16,65.09,61.09,62.96,637157,EQ,5974.0,106.66,155675.0
2026-01-22,63.0,64.56,61.62,63.56,415152,EQ,4551.0,91.22,89414.0
2026-01-23,64.8,64.8,61.57,62.21,256634,EQ,2748.0,93.39,50897.0
2026-01-27,62.17,64.72,60.1,62.88,3052334,EQ,4471.0,682.7,988891.0
2026-01-28,62.88,63.61,61.33,61.83,256106,EQ,2669.0,95.96,53496.0
2026-01-29,61.85,63.35,61.33,62.21,336372,EQ,1973.0,170.49,76943.0
2026-01-30,61.16,62.76,56.0,60.67,329877,EQ,3141.0,105.02,76594.0
2026-02-01,60.7,62.28,60.1,60.86,341471,EQ,2045.0,166.98,112260.0
2026-02-02,62.09,62.6,58.11,60.33,446843,EQ,4896.0,91.27,97121.0
2026-02-03,61.5,63.23,60.5,61.03,446449,EQ,3881.0,115.03,102386.0
2026-02-04,61.6,62.44,60.52,61.07,518543,EQ,2007.0,258.37,172722.0
2026-02-05,61.85,61.85,60.0,60.49,427653,EQ,1201.0,356.08,143135.0
2026-02-06,60.2,60.8,57.3,58.72,628640,EQ,1333.0,471.6,256397.0
2026-02-09,59.25,60.49,58.1,58.89,738106,EQ,1964.0,375.82,179385.0
2026-02-10,58.68,61.74,58.68,59.75,662005,EQ,4186.0,158.15,232490.0
2026-02-11,59.76,61.4,58.3,58.88,555463,EQ,2117.0,262.38,175248.0
2026-02-12,58.88,59.76,58.15,58.49,872260,EQ,970.0,899.24,180298.0
2026-02-13,58.79,59.5,57.96,58.29,406429,EQ,612.0,664.1,103791.0
2026-02-16,57.78,58.32,57.1,57.38,312411,EQ,1077.0,290.08,61996.0
2026-02-17,57.8,58.17,57.15,57.39,677918,EQ,730.0,928.65,128345.0
2026-02-18,57.2,58.23,56.5,56.96,1016872,EQ,1710.0,594.66,211372.0
2026-02-19,56.96,61.0,56.96,57.94,1329400,EQ,2508.0,530.06,236994.0
2026-02-20,58.23,58.93,57.25,58.04,1412750,EQ,1752.0,806.36,259340.0
2026-02-23,59.0,62.24,57.8,60.15,2023907,EQ,4760.0,425.19,348009.0
2026-02-24,59.9,61.46,58.1,60.05,1149530,EQ,3558.0,323.08,278202.0
2026-02-25,59.37,60.68,59.27,59.92,1120665,EQ,1455.0,770.22,222421.0
2026-02-26,59.99,60.89,58.52,59.79,1365589,EQ,2782.0,490.87,295009.0
2026-02-27,59.35,60.74,59.35,60.15,1213648,EQ,1230.0,986.71,259258.0
2026-03-02,58.21,63.2,57.0,61.92,1882660,EQ,4330.0,434.79,377637.0
2026-03-04,60.32,61.92,49.54,59.24,1059313,EQ,2383.0,444.53,262737.0
2026-03-05,60.28,61.48,58.27,61.13,1055847,EQ,1983.0,532.45,196906.0
2026-03-06,60.69,61.45,59.3,60.33,717092,EQ,961.0,746.19,154661.0
2026-03-09,59.1,60.68,58.16,60.26,549176,EQ,982.0,559.24,149138.0
2026-03-10,59.55,61.43,58.53,59.33,3165287,EQ,2541.0,1245.69,1267547.0
2026-03-11,59.75,59.75,55.45,56.36,1116351,EQ,1678.0,665.29,557520.0
2026-03-12,55.9,56.49,54.26,55.47,1463389,EQ,2649.0,552.43,509198.0
2026-03-13,55.4,55.65,54.0,54.99,987671,EQ,1523.0,648.5,128728.0
2026-03-16,55.52,56.27,51.72,54.8,1380569,EQ,2031.0,679.75,221560.0
